,0,1,2
0,0.3334926,0.023255546,0.13597296
1,0.33216622,0.023255546,0.14005919
2,0.33693567,0.022571813,0.15879948
3,0.34720334,0.021887723,0.1556996
4,0.34786287,0.020177852,0.13146399
5,0.3625156,0.01915171,0.1471044
6,0.38011017,0.019493755,0.14400451
7,0.38531873,0.01846762,0.14287727
8,0.39360997,0.020519894,0.14287727
9,0.3891863,0.018809665,0.13287304
10,0.3950694,0.019835804,0.13470481
11,0.40577224,0.019835804,0.13893194
12,0.38881305,0.018125571,0.13752289
13,0.40040365,0.018125571,0.12751867
14,0.40248892,0.017783884,0.12751867
15,0.40947792,0.023939636,0.1413273
16,0.39823475,0.025991555,0.13385935
17,0.38599375,0.023255546,0.1378047
18,0.39653608,0.021887723,0.13681836
19,0.38921168,0.020177852,0.15429054
20,0.37775365,0.019835804,0.15288149
21,0.36299,0.020177852,0.15020429
22,0.3654209,0.020861581,0.14245455
23,0.38177708,0.021203626,0.14231364
24,0.38164315,0.021203626,0.12300973
25,0.3881617,0.027701788,0.12878682
26,0.40114322,0.028727569,0.12540512
27,0.37895516,0.026333604,0.13090037
28,0.3776702,0.024965778,0.13104127
29,0.3841801,0.027017698,0.12202339
30,0.37906626,0.027359739,0.11258276
31,0.36975214,0.030437797,0.11399181
32,0.3897902,0.02838552,0.11455543
33,0.40144023,0.032147665,0.10694659
34,0.39661267,0.031463575,0.100887686
35,0.3887773,0.031805623,0.10511483
36,0.39142397,0.030437797,0.10680568
37,0.39860454,0.031463575,0.105537534
38,0.38823488,0.028043833,0.100746796
39,0.38876435,0.027017698,0.093560666
40,0.38002715,0.027017698,0.09370157
41,0.37068626,0.026333604,0.098633215
42,0.38017216,0.027359739,0.1099056
43,0.3739632,0.027017698,0.0979287
44,0.37403336,0.026333604,0.10765113
45,0.38419726,0.028727569,0.13991825
46,0.40109667,0.027701788,0.15358604
47,0.39545944,0.026333604,0.1342821
48,0.39589033,0.02838552,0.12075524
49,0.38843074,0.026333604,0.11990981
50,0.3816935,0.025307827,0.12258701
51,0.3701792,0.022229765,0.118782565
52,0.3538979,0.020519894,0.11793716
53,0.34380934,0.018125571,0.14597715
54,0.3375285,0.01915171,0.13597296
55,0.30785164,0.016073652,0.14146821
56,0.31289008,0.017099794,0.14499085
57,0.3123916,0.016073652,0.15288149
58,0.29081658,0.014021736,0.16232209
59,0.26707193,0.014705829,0.16894461
60,0.30220315,0.015731607,0.16598563
61,0.296258,0.015731607,0.1349866
62,0.3028566,0.016757749,0.15048613
63,0.30163488,0.017099794,0.15978582
64,0.31167528,0.017783884,0.16852193
65,0.31498918,0.016073652,0.15696774
66,0.3215727,0.0164157,0.1806397
67,0.33473673,0.015047878,0.19909821
68,0.3135918,0.014363781,0.23502888
69,0.30759117,0.013337646,0.29054528
70,0.2892044,0.011627775,0.24954207
71,0.28695723,0.0068398453,0.2381288
72,0.2699829,0.0041038357,0.2529238
73,0.28259203,0.0041038357,0.26532334
74,0.2782884,0.0027360097,0.214175
75,0.26042685,0.0,0.2021981
76,0.25887707,0.0,0.20853882
77,0.28565416,0.001709871,0.20276172
78,0.28814366,0.0041038357,0.23615612
79,0.28054848,0.0010257773,0.26391435
80,0.28636917,0.00068373233,0.23361982
81,0.28357527,0.0013678223,0.21938847
82,0.27953812,0.0013678223,0.1936029
83,0.27512303,0.007181894,0.20276172
84,0.27923158,0.008891765,0.19768916
85,0.29876176,0.011285726,0.19416656
86,0.29628775,0.0099179,0.20614345
87,0.30931357,0.012311865,0.2116387
88,0.31262967,0.011285726,0.22220655
89,0.31907156,0.011627775,0.24390589
90,0.31189695,0.010943677,0.2626462
91,0.3054684,0.009575855,0.27011412
92,0.30050007,0.0099179,0.23841058
93,0.27580276,0.0064977966,0.22911088
94,0.29137924,0.008207671,0.21361138
95,0.2892216,0.008891765,0.21022965
96,0.29658088,0.010259949,0.24714668
97,0.2915226,0.008549716,0.2357334
98,0.2986606,0.008207671,0.25109202
99,0.29184332,0.008549716,0.22699733
100,0.27394387,0.009575855,0.24010144
101,0.26494655,0.008549716,0.25010568
102,0.25691316,0.007181894,0.24799211
103,0.26663628,0.008207671,0.27842748
104,0.26506326,0.007181894,0.24785121
105,0.24796578,0.0044458807,0.25207835
106,0.2400159,0.0030776933,0.21276595
107,0.2596911,0.003761787,0.21389319
108,0.2647628,0.0047879256,0.2176976
109,0.26536414,0.0051299743,0.17641257
110,0.28799686,0.0064977966,0.19191207
111,0.28423306,0.010943677,0.21121599
112,0.29188767,0.012311865,0.1936029
113,0.30132446,0.011285726,0.2109342
114,0.29792616,0.010259949,0.23474707
115,0.3105022,0.010259949,0.2509511
116,0.30513218,0.010259949,0.24348317
117,0.28268376,0.008207671,0.3078766
118,0.28479317,0.007181894,0.2785684
119,0.29183212,0.008207671,0.24883752
120,0.28075466,0.007181894,0.26546425
121,0.26907113,0.008549716,0.2571509
122,0.2724673,0.007181894,0.23502888
123,0.27290425,0.0064977966,0.2354516
124,0.2749788,0.007181894,0.24066506
125,0.28784963,0.007865984,0.26461887
126,0.2781382,0.007865984,0.2550373
127,0.2660689,0.0068398453,0.23826967
128,0.29385504,0.007865984,0.22403835
129,0.30300644,0.008549716,0.20670705
130,0.30252942,0.009575855,0.2168522
131,0.30528715,0.012311865,0.21192051
132,0.3024976,0.011627775,0.18993942
133,0.2876447,0.0099179,0.18810765
134,0.29645476,0.010943677,0.18824856
135,0.2963833,0.010259949,0.16457658
136,0.2993705,0.009575855,0.1710582
137,0.29499367,0.009575855,0.17965336
138,0.30649945,0.0099179,0.17866702
139,0.32392576,0.009575855,0.17923068
140,0.33105984,0.009575855,0.17866702
141,0.3286896,0.010601636,0.17091729
142,0.33108357,0.009575855,0.17035367
143,0.32218316,0.008549716,0.16598563
144,0.33119246,0.009233806,0.16302662
145,0.33384606,0.0099179,0.1710582
146,0.32985535,0.009575855,0.16950823
147,0.31950417,0.01196982,0.1617585
148,0.32305142,0.013679691,0.16387205
149,0.32891604,0.012995597,0.146259
150,0.32288614,0.01265391,0.17232634
151,0.32133117,0.013679691,0.20853882
152,0.313575,0.014363781,0.2234747
153,0.32001558,0.013337646,0.23770608
154,0.32077757,0.0164157,0.24404676
155,0.31629834,0.015389923,0.21896575
156,0.3108715,0.014705829,0.23390163
157,0.3048726,0.014363781,0.2601099
158,0.3064396,0.017441839,0.25630546
159,0.2988694,0.016757749,0.24714668
160,0.2879835,0.015047878,0.24277864
161,0.29581502,0.015731607,0.22544737
162,0.29364792,0.015731607,0.20050727
163,0.27662244,0.014363781,0.20290263
164,0.27460513,0.013337646,0.22164296
165,0.2562097,0.010601636,0.28786808
166,0.2392427,0.009575855,0.24883752
167,0.24651071,0.010601636,0.27786386
168,0.25450888,0.011627775,0.2630689
169,0.24832311,0.012311865,0.28209102
170,0.24968305,0.012311865,0.28025925
171,0.24905452,0.014021736,0.29688597
172,0.23107585,0.014021736,0.31055373
173,0.21886322,0.012995597,0.32337606
174,0.2193428,0.010943677,0.2698323
175,0.22011212,0.014363781,0.2416514
176,0.21734187,0.014705829,0.26335073
177,0.20727566,0.013679691,0.27166408
178,0.2042872,0.014021736,0.2641961
179,0.18135956,0.012311865,0.3004086
180,0.17970261,0.012995597,0.34986615
181,0.19550732,0.013679691,0.3407073
182,0.18506399,0.013337646,0.28251374
183,0.19124195,0.01265391,0.30717206
184,0.18377206,0.012311865,0.31027192
185,0.18733439,0.012995597,0.27546853
186,0.18589911,0.014363781,0.26165986
187,0.17973962,0.015731607,0.2286882
188,0.15733209,0.013337646,0.23164718
189,0.17123267,0.014021736,0.20064814
190,0.16328964,0.014705829,0.20107086
191,0.16378775,0.014363781,0.21826123
192,0.18500069,0.017099794,0.2574327
193,0.19718537,0.016757749,0.26208258
194,0.18069664,0.015731607,0.19909821
195,0.19646773,0.023255546,0.21967028
196,0.22127053,0.021545675,0.20163451
197,0.2169303,0.02462373,0.2020572
198,0.21104851,0.028727569,0.22389741
