,0,1,2,3
0,16155.925,19.5975,1.5197825,89242220.0
1,16102.713,20.17,1.5316551,44149464.0
2,16174.022,21.0,1.5150349,30208528.0
3,16391.393,20.995,1.50316,19939692.0
4,16483.168,19.58,1.45092,26549056.0
5,16722.197,20.31,1.41767,17897294.0
6,17140.402,19.907501,1.412925,9361338.0
7,17281.662,20.14,1.3891749,11881698.0
8,17534.588,19.965,1.4247975,16901362.0
9,17626.605,19.3325,1.424795,9866673.0
10,17527.805,19.682499,1.4247975,9390815.0
11,17803.717,19.675,1.42242,4337462.0
12,17594.451,19.4875,1.3891776,4931231.0
13,17572.848,19.0125,1.3891776,4931231.0
14,17699.613,19.035,1.3274375,7377896.0
15,17958.684,19.6075,1.439045,23106460.0
16,17798.293,19.485,1.5696476,43943120.0
17,17457.719,19.6925,1.5577775,12062776.0
18,17575.79,19.5775,1.505535,7316835.0
19,17410.34,20.119999,1.44617,7872704.0
20,17259.44,20.8575,1.408175,3181507.0
21,16882.623,20.58,1.403425,2739339.0
22,16958.11,20.055,1.455665,5212324.0
23,17091.24,20.08,1.45804,2151886.0
24,17274.555,18.7175,1.4580425,2825667.0
25,17410.52,19.1525,1.5601525,36390464.0
26,17641.705,18.875,1.67651,49743950.0
27,17469.898,18.995,1.638515,15429573.0
28,17221.473,19.045,1.5933975,9717178.0
29,17283.844,18.8775,1.6052725,13433498.0
30,17271.574,18.4225,1.6123974,7139968.0
31,17121.26,18.02,1.705005,75705550.0
32,17264.848,17.91,1.695505,25395208.0
33,17594.27,17.7325,1.7145075,22300028.0
34,17669.332,17.18,1.7501249,21238824.0
35,17553.785,17.5075,1.7596226,34103820.0
36,17466.285,17.6,1.738255,13557727.0
37,17610.713,17.5125,1.7335025,16581317.0
38,17577.107,17.25,1.69076,11313195.0
39,17445.814,16.76,1.6337675,11452163.0
40,17271.125,16.76,1.6147699,7032584.0
41,17130.336,16.8775,1.60527,2598266.0
42,17188.652,17.4725,1.626645,3924771.0
43,17134.875,17.0925,1.62427,1680240.0
44,17097.096,17.145,1.6147676,6632527.0
45,17286.32,19.555,1.63139,6224047.0
46,17589.113,20.2775,1.657515,3015168.0
47,17676.992,19.935,1.6266425,6434604.0
48,17612.918,18.699999,1.629015,5362872.0
49,17504.1,18.71,1.6123976,3844760.0
50,17364.385,18.5275,1.5934,4038472.0
51,17082.816,18.5,1.524535,4783841.0
52,16763.633,18.2425,1.453295,7043112.0
53,16471.008,19.565,1.4010475,3741587.0
54,16334.4,19.8875,1.3891749,2168731.0
55,15776.75,20.255001,1.3488075,2204526.0
56,15471.817,20.2675,1.296565,2905678.0
57,15717.617,21.557499,1.332185,2252953.0
58,15287.385,21.145,1.282315,2684594.0
59,14771.324,21.6425,1.25857,3261519.0
60,15166.53,21.717499,1.3036875,1404411.0
61,15293.68,20.365,1.3131875,1385461.0
62,15246.582,20.205,1.30369,2899362.0
63,15467.199,21.1425,1.341685,1269655.0
64,15657.33,21.275,1.3511825,1250705.0
65,15627.45,21.0,1.3345599,1819207.0
66,15762.457,21.755001,1.32506,842226.0
67,16124.947,24.06,1.3013151,1212805.0
68,15866.57,26.815,1.26807,1099104.0
69,15616.907,28.805,1.24907,810642.0
70,15238.548,28.465,1.2110775,1303344.0
71,15068.673,27.09,1.1018425,6489348.0
72,14660.228,27.1275,0.99260503,5750295.0
73,14971.133,25.94,0.949865,2554049.0
74,14579.615,24.13,0.8905,3147818.0
75,14326.3,24.6675,0.8430075,2172942.0
76,14948.71,24.2075,0.8905,1433889.0
77,15041.617,26.005001,0.9522375,2865673.0
78,15036.6875,27.942501,0.94273996,1179116.0
79,15045.28,27.102499,0.8952475,1021199.0
80,14957.8125,25.81,0.878625,1545484.0
81,14864.686,24.28,1.0234799,3482603.0
82,14876.643,23.877499,1.1042175,3514186.0
83,15155.532,23.8225,1.15171,3419436.0
84,15333.037,24.4825,1.154085,4070055.0
85,15555.67,25.0425,1.1944525,3202563.0
86,15667.338,25.285,1.19208,947504.0
87,15720.367,27.157501,1.1944525,772742.0
88,15772.0625,28.3525,1.175455,1225438.0
89,15501.686,29.375,1.15171,1080154.0
90,15429.192,27.2625,1.1374625,1204383.0
91,14943.918,26.6225,1.07097,2461404.0
92,15004.242,25.34,1.0852175,1523376.0
93,15263.668,25.164999,1.118465,600086.0
94,15209.402,26.9725,1.1208425,366368.0
95,15162.2295,27.0525,1.1018425,282146.0
96,15255.025,27.33,1.0970925,412691.0
97,15150.205,26.6575,1.073345,875915.0
98,14979.59,26.5375,1.101845,978034.0
99,14454.407,27.3125,1.0994675,360051.0
100,14490.92,27.7225,1.087595,195817.0
101,14529.5,29.4575,1.063845,166340.0
102,14575.04,27.814999,1.05435,694836.0
103,14248.415,28.18,1.011605,298990.0
104,14074.545,26.1375,0.97123504,1345455.0
105,14227.535,24.6225,0.95699,709575.0
106,14516.295,25.314999,0.990235,143178.0
107,14596.235,23.092499,1.0163575,513758.0
108,15026.575,23.5275,1.0377275,800114.0
109,14966.522,24.56,1.087595,2653011.0
110,15112.145,23.735,1.2087024,8639129.0
111,15328.748,24.2675,1.189705,2301381.0
112,15424.037,26.07,1.158835,871703.0
113,15307.918,27.2025,1.1350875,616930.0
114,15520.013,26.8675,1.1445875,372685.0
115,15117.695,30.785,1.1065924,1229649.0
116,14933.067,30.7925,1.0780976,244245.0
117,15117.348,28.17,1.092345,526391.0
118,14966.808,28.675,1.056725,168445.0
119,14672.013,28.4825,1.073345,795903.0
120,14757.082,27.2875,1.092345,404268.0
121,14807.248,28.045,1.047225,1008565.0
122,14804.947,26.66,1.051975,648514.0
123,14974.875,28.182499,1.0757225,341101.0
124,14978.825,28.69,1.0781,490596.0
125,14651.237,27.6025,1.056725,397952.0
126,15167.21,26.2075,1.106595,736947.0
127,15393.058,24.9625,1.09947,2021341.0
128,15354.223,25.3575,1.1113424,787481.0
129,15457.87,24.7075,1.1920775,6758860.0
130,15424.689,23.89,1.19683,2242426.0
131,15268.66,23.485,1.1588349,2099247.0
132,15235.078,23.7675,1.1540849,473752.0
133,15279.31,22.2975,1.15646,583241.0
134,15331.676,22.0725,1.13984,589558.0
135,15319.067,22.5525,1.1137176,305307.0
136,15416.984,22.645,1.11609,160023.0
137,15815.795,22.7325,1.13034,905393.0
138,16019.918,22.865,1.12559,320046.0
139,16034.1875,22.49,1.14696,402163.0
